reviews,recommendation,location
I remember that the doctor is so helpful... His prescribed medicine ** ** ******* **** is so helpful.,I recommend the doctor,Delhi
I visit this doctor... This doctor was so helpful.. I recommend him so much. I appreciate his word and medicine,I recommend the doctor,Delhi
Hi i am aditya.I was suffered from Liver disease. Dr.Yuvaraj Arora Monga is an expert doctor who is the best professional. He recommended **** medicines and prescribed our body needs health care .I am very happy. .,I recommend the doctor,Delhi
*** ****** ***** ***** ** * **** ****** no doubt as well as a good human. He is very friendly to his patients. We are glad to have a doctor like him. ,I recommend the doctor,Delhi
Very experienced doctor and best treatment according to me.The doctor was very friendly and treated me very politly,I recommend the doctor,Delhi
Dr. Monga is really good natured doctor. he listened to my problem very patiently and i felt really comfortable in his clinic. ,I recommend the doctor,Delhi
Doctor is kind heartily and friendly in true words.i consulted with him with my problem he helped me to overcome those problems thank your doctor.,I recommend the doctor,Delhi
He is a great man with a golden heart he gave me the right diet and a right advice for a person suffering from diabaties i would recommend him if u also face diabaties,I recommend the doctor,Delhi
I will recommend doctor yuvraj to everyone because of his great treatment. He is very Friendly in nature. They give treatment in affordable prices. And the medicines has also worked for me.,I recommend the doctor,Delhi
"He is a very good and wise doctor with a very friendly attitude. When I'm describing my illness to him, he listen it carefully and solving my problems very politely and gently. I'm very happy with his entire environment and I must recommend him to everyone. ",I recommend the doctor,Delhi
Really great experience very helpful doctor his treatment is really great and helps everyone recommend others to visit him. ,I recommend the doctor,Delhi
Dr. Monga is really very good and very much experienced. He has given me ******* treatment and I am very happy. The staff is also friendly.,I recommend the doctor,Delhi
My experience with the doctor is just great. He gives you *** **** treatment for diabetes management and any type of sexual problem.,I recommend the doctor,Delhi
I really appreciate that. ** ****** * **** **** ******* Treatment are very nice. Now i am very happy with his treatments.,I recommend the doctor,Delhi
I had a great experience with dr.  Monga..... ** ** **** ****** ******* ** ******* **** ***l.  He explained everything related to my disease.  *** ********* ** **** **** ******* ** ***  ******  I also prefer my friend for going this clinic.. ,I recommend the doctor,Delhi
I was great experience with doctor and really when I talk with doctor it just like a doctor is my friend and doctor are explained why I got loos motion and then he give me precaution for loss motion and give me some medicine doctor Monga are so good thanku sir,I recommend the doctor,Delhi
This doctor is very kind with the patients who consult the doctor. The doctor is well experienced too. ,I recommend the doctor,Delhi
i had great expirence with dr monga he explained my type of diabites to me all and reqirements and treatment thanks,I recommend the doctor,Delhi
I  am really happy to this service. There doctors are really very good. They are very talented and experiences. I am really happy to this service. There staff are also very friendly. ,I recommend the doctor,Delhi
"first of all they did some test like viatmin D and B12, and  testosterone and they cost it 8000, ***** **** **** ****** **** *** *** ***** ***** *** *** ****** *** **** *** ***** it shows i have dehydration and jaundice *** **** * **** ** **** ********* **** *** ******* *** ****** **** ******* * *** ************ *** ****when i visit them again to consult they said it will cost about 30K to treat viatmin D and testosterone level. ",I do not recommend the doctor,Delhi
* ********* ***** ** ** ** * ****** ** ********* *****The session started by so called 'Dr. Yuvraj' telling us on how we should focus on arranging money ******* ** ******** ** *** ******* ** ********** He then suggested two tests.On the next visit he shows a Rate Card of his clinic which is not mentioned on this app which has 4 times the amount charged on the first session. Very disappointed!,I do not recommend the doctor,Delhi
Visited many doctors not got proper treatment anywhere.finally visited to dr yuraj and i am extremely satisfied with his treatment and nature **** ********* ** **** *** **** ********* *****,I recommend the doctor,Delhi
I visited to doctor before 3-4 days for first time for diabetes problem.i am extremely satisfied with doctors behaviour and the tips and treatment he did******* ********* ***** ** ****** **** very simple and easy method,I recommend the doctor,Delhi
Excellent doctor and well experienced . Very best doctor. Treat patient very well also always avilable for his patients. Fee is extremely very low. Also neat and clean clinic.,I recommend the doctor,Delhi
I came here with my relative and  was really satisfied with the treatment provided. The medicine prescribed was effective and it did not have any certain side effects. I recommend Dr. Yuvraj Monga to everyone. He was helpful in providing the most suitable treatment and I really thank him for the wellness of my brother today. ,I recommend the doctor,Delhi
** ** *** **** ********** ****** **** * ************ The wait time is very minimum. The fee is very low and doctor is well experienced.,I recommend the doctor,Delhi
*** **** ****** **** * *********** ** ****** ******* He deal my all of the doubght also he is well experienced. the fee is low a** ****** ** *****,I recommend the doctor,Delhi
I will not recommend the doctor at all. All time he was just trying to convince me that I need to get some test done basis of their cost. He was not telling the details of tests even he was telling prices first. ****** ** **** **** *** *** ***** *** **** ***** **** *** *** ********** *** ***** **** ***** *** ********** When I asked him to get the test done from outside then he started dealing with me with the costs. **** * ******** **** ** ** *** ****** ** ****** ****** ********** **** ** **** **** ***** *** **** ,I do not recommend the doctor,Delhi
I had a great experience with doctor Monga.I visited for basic diabetes checkup as I had type 1 diabetes in my childhood.My diabetes is in control now because of Dr. Monga.Thank you doctor.,I recommend the doctor,Delhi
Thanks doctor for deal my all of the problem. *** ****** ** **** ****** **** * ***** The fee is also very low. He is well experienced doctor. He talk with patient very politely.,I recommend the doctor,Delhi
** *** **** *** ******* ********* **** ** *** its good and nice i had evet like this before its superb one.,I recommend the doctor,Delhi
"Although my appointment was accepted for 10am, when I reached the clinic the receptionist informed me that the doctor doesn’t even sit on the day I went. attitude of the doctors and staff *** ******** I was suffering from 102 fever and traveled all the way to see a doctor just to know that he won’t even be there. So if he won’t be there then why did you accept my appointment. Actually there is no liability for wasting other persons time therefore, this attitude. I hope this sort of inconvenience will not happen to patients in future who come to see a doctor after taking pains. ",I do not recommend the doctor,Delhi
*** **** ****** ** ****** ****** He give full time to his patients also he understands value of money. Fee is very low. ** ** **** *******,I recommend the doctor,Delhi
** ***** ** *** **** ****** * **** **** **** he is so friendly that you can easily put out your mind and freely discuss your problems.I visited for sexual therapy and the time and money spent was worth it,I recommend the doctor,Delhi
Dr Monga Medi treatment is the reason for which I am alive today. Literally I will be always thankfull to him. ** ** *** **** ****** *** *** Please its a request for everyone that if you are facing some personal problem which you feel uncomfortable to explore so you must visit Dr Monga Medi Clinic once.,I recommend the doctor,Delhi
had great experienced with doctor Yuvraj arora. Dr. Yuvraj disscus your every problem in details. The doctor also understand the value of money. The fee is also very low. ,I recommend the doctor,Delhi
I visited for first time there and found that the counseling sessions are too expensive because they are charging on the basis of time. They are even considered general talk into their counselling and charged accordingly ***** ***** ** ** ****** ********* They should inform what to charge and what not to charge in advance while counseling rather listening to problem couldn't be part of counseling.,I do not recommend the doctor,Delhi
** ** ****** **** ************* ** ******** *** gives the best advice and the finest treatment to the patient.. I personally love the overall treatment provided to me.,I recommend the doctor,Delhi
I have experience with there Dr. moga his tell me my diabetes type hi tell me you avid outside food and I'm control my sugar level. ,I recommend the doctor,Delhi
I had a great experience with Dr. Monga. He explained my type of diabetes to me and all the required treatment and foods to avoid for proper control of my blood sugar level. Completely satisfied with the service provided.Will surely suggest to everyone.,I recommend the doctor,Delhi
I felt very positive vibes once I entered the clinic .The doctor is very friendly and will make you feel comfortable which makes you share all your problems smoothly.He listened to all my queries and gave me honest and genuine answers. Thanks Dr. Yuvraj.,I recommend the doctor,Delhi
"excellent app...give it a try if u need guys superb app I'm sure each n everyone with any sort of health issue can go through it, n u'll definitely b soo thankful for them by d end ",I recommend the doctor,Delhi
** ** * **** **** ****** ** will do treatment very carefully and by this reason its treatment will always be succesfully done,I recommend the doctor,Delhi
** ** * **** **** ****** i will fully satisfied with its treatment its work is very good their services are good ,I recommend the doctor,Delhi
Dr Yuvraj is very friendly so we can share problems with him easily.. they are very famous in patel nagar for the treatment of sexual problems..,I recommend the doctor,Delhi
I will recommend him to everyone because I had the best experience with him I was feeling very positive when I entered the clinic.,I recommend the doctor,Delhi
a very good n experianced sexologyst he is. went there for my hiv test. i liked their way of treating patients. apart from this dr sir is very friendly n humble person. ,I recommend the doctor,Delhi
dr yuvraj arora monga is very well famous sexologyst.. i took treatment from him for my sexual disorder. ** ** * **** ** *** ***** ,I recommend the doctor,Delhi
Wow I got my premature ejaculation problem resolved by this thing by going here very amazing and nice,I recommend the doctor,Delhi
i really sattisfied by his treatment. very humble person. he listnes carefully every thing n never force you to buy un necessary medicines. * ***** *** ********* ** ********* *** ********** ********* **** ********** ,I recommend the doctor,Delhi
"very experianced sexologyst. being a girl it was very embarssing for me to express my issue. but thanks to him , he made d situation very easy for me. his treatment really very result oriented",I recommend the doctor,Delhi
he is a great doctor i just love its work very good and mind blowing one too good and superb one for sure,I recommend the doctor,Delhi
dr yuvraj monga is one of d very experianced n polite dr. if you have any sexual disorder then you can consult him. ** ** **** **** *** ****** ******,I recommend the doctor,Delhi
I had one of the best experience with doctor. You will automatically feel positive vibes once you enter the clinic .The doctor is awesome and will make you feel comfortable which makes you share all your problems smoothly.He listened to all my queries and gave me honest and genuine answers.He will behave more like a friend to you and won't unnecessarily ask you for tests and other formalities. He carries * ***** ********* ** ******* *** ample amount of experience.Thank you Dr. Monga,I recommend the doctor,Delhi
Fees are very high in comparison to other clinic.  I am right now undergoing a PReP treatment and the medicine cost is way too high.  When I checked those price on internet.  The price was quite reasonable. ,I do not recommend the doctor,Delhi
"Please don't visit this  doctor. **** **** ***** **** ******* On phone they will tell you only Five Hundred Rupees as consultation chrg but once you reach there they will show you a 'Rate Card' for counselling an ld report discussion charge...2K for 20 minutes, 4K  for 40 min . They're not interested in Patient's queries *** ******** *** *********** ***** **** ****** **** **** ****** ******* ******** ** ******** **** ** ******",I do not recommend the doctor,Delhi
"**** *** *** ********** *** ****** ********* ******** *** *********  *** ******** ** ************ **** ***** charge ₹ 500/-.for prescription asked & charge rs.2000/-,never said before on telephone , complersary medicine buy from clinic. **** ************ ********* don't visit this clinic ,***** ********** *** ***** **** ******* *** *******",I do not recommend the doctor,Delhi
"I'd never ever recommend this place to any one. **** **** **** **** ****** ** ** ******* ***** ** * ******** ***** online the charges were 500rs. But when I told them about my issue they said it'll be 2000rs for consultancy.After waiting for more than 30 min, I was called inside and gave my history. He asked me to run a STD panel(7800rs)from their clinic and after that he won't charge me fir the consultancy. As I'm from CGHS panel blood test gets reimbursed then why would I do it from a private clinic. My pain was at some other level so I tried reaching the doctor on phone but to that he said they would charge me 2000 again for a telephonic consultation. **** ****** ** **** ***** ****** **** ***** **** *** ****** *** ***** ********* **** ******* ** ***** * ********** ******** ****** **** *********** **** ****** ** ***** ****** ",I do not recommend the doctor,Delhi
The consultation was good although I didn't go for proper therapy but his consultation helped me enough to understand my problem. Overall it was good,I recommend the doctor,Delhi
"Dr. Yuvraj is rude in behavior. He offers medicines without labeling.  The mfg date/expiry, Mfg company, price tag, the name of the medicine etc. are not mentioned on the medicines.  He offers medicines out of his own stock and is very costly.  He gave me medicines @ Rs. 3600/- for one month.  *** ********* ********** ** ** **** ******** ********* ** *** ****** * *** *******  *** ********* ***** ** ** ** *** ***** ******* ***** ******** ** *** *****  He forced me to get the lab tests done at his own clinic, which was very costly.  ** **** ********** **** *** *********  I am totally dissatisfied with Dr. Monga.  ",I do not recommend the doctor,Delhi
Very comfortable to coming to Dr monga clinic for diabetes treatment. Dr Yuvraj is very polite humble. Everyone is pleasant in the clinic and very supportive.... They understand ur problem and give solution. Will visit again. ,I recommend the doctor,Delhi
I waited more than an hour and gave 2000 rupees consultation and he asked me my problem and i told him everything but instead of helping me treat the problem. He is more concerned in telling me about it and telling me about how long is the process of curing it. * ****** *** ** ***** **** ***** ** * **** *** ******* ** **** **** ** * ********* ****** ** *** *** ******* **** ** **** **** ** * ******* ******** ***** **** ******* **** ** ***** ** ******,I do not recommend the doctor,Delhi
I am suffering from some sexual weakness so i am visiting several doctors in ncr but I can't get any result than i surch in practo i fund dr yuvraj Arora I am visited I take treatment for 30 days after 15 days i get more than 60% relief. Thank to dr monga ,I recommend the doctor,Delhi
"**** **** **** ***** ******* **** **** *** ** they won't care for your help.. they overcharge for meds, counseling, dieting ***** ** *** ***** ** ****Commitment is another concern.. they promise to guide on WhatsApp, they charge for it but they don't talk after they get their money",I do not recommend the doctor,Delhi
Pls don't go there ****** *** ***** ******* **** **** **** * ****** **** ******** * And later they will forced u to get the medical test done from Thier shop .. which is too costly .. ,I do not recommend the doctor,Delhi
I am very happy to visit in Dr. Monga clinic .  I am much better than before . 80% relief and satisfaction in 20 days. Staff and clinic services are very good . Thanking doctor yuvraj sir 😃😃😃,I recommend the doctor,Delhi
Very friendly behavior at first meeting. I will exactly tell after three months course. Dietician is very helpful. ,I recommend the doctor,Delhi
Well mannered staff and friendly workers. Even the doctor is super excellent. Rendering maximum satisfaction to his patients. I don't regret MO eyes spend because I received the treatment I needed. Would recommend for all. ,I recommend the doctor,Delhi
"I have been there twice their way of handling patients is what I like the most,caring as well as soft spoken",I recommend the doctor,Delhi
"**** ************* ******* Very interactive and gave a lot of time. My diabetes is under control after many, many years. Full value for   time spent. ",I recommend the doctor,Delhi
"Feeling good, now I am on 15 days of my treatment, significant improvement and my partner is quite happy, hope we will get the full satisfaction.",I recommend the doctor,Delhi
"I received a call from the clinic, which clearly mentioned that consultation fee is ₹500 which is a one time payment and all the future consultations are free and also the includes diet chart at no extra cost. The clinic doesn't have a specialised gastroenterology wherein i was told that they have experts in gastroenterology with 17 years of experience. I would not recommend this to anyone. ",I do not recommend the doctor,Delhi
"Got this clinic through Google and as it says doctor is excellent is understanding my issues and we are clear on the related symptoms, causes and medicines. It's more than a month under treatment. I pleasantly recommend this clinic. Stay healthy...",I recommend the doctor,Delhi
"*** * ****** ***** ** **** ***** ******. will not recommend. instead of talking on the problem, i was sitting discussing about charges and discounts. very bad. ",I do not recommend the doctor,Delhi
"*** **** ****** * **** **** ********the way doc talk and explains things is the way a friend consoles you in your problems, spending time and listening to you is the most important thing for anyone, specially for patient who are already feeling low about their health....Dr. Yuvraj is not just a doctor but a man who helps you in every way a great human can!!",I recommend the doctor,Delhi
Not good.Experiance .The appointment from whom he had taken was not a Dr. Yuvraj Monga. I am not Satisfied with his recommended course.,I do not recommend the doctor,Delhi
"I have not met with Dr Yuvraj arora .The other One discussed with me.He has advised to Some testeand after that he will start my treatment.Meeting was good enough,bt Dr yuvraj also could meet,tht were also good..",I recommend the doctor,Delhi
"My sugar is under control, treated for last 2 months, Feeling energetic. Described diet beautifully. Have a proper follow up procedure.",I recommend the doctor,Delhi
"I am treating my self in dr. Monga clinic with dr. Yuvraj monga. And my fasting was 193 on 16\ 10\18 , now my fasting is 139  on 24 \ 10\ 18 , i am feeling much better  now i suggest you go in there the staff is very good and they give diet counselling also .",I recommend the doctor,Delhi
"Everything is good, like Ambiance, Services etc This is my first exp.& all staff also very helpfull....🙇‍♂️🙇‍♂️",I recommend the doctor,Delhi
Strongly recommend this clinic to everyone. Thank you very much dr. Yuvraj Arora. I am really very happy with your treatment* **** **** *** ****** *** ** *** ******* *** I am absolutely fine.,I recommend the doctor,Delhi
I am having erectile dysfunction problem so I visit this clinic Dr.Yuvraj gives me **** treatment therefore my problem is solved. ,I recommend the doctor,Delhi
"Previous Hb1c was 11, now 7**** ********Doctor is very frendlyWay of food routine checking is good",I recommend the doctor,Delhi
I am surfing for weakness since 8 to 10 month after taking medicine of 30 days I am filling well thank to dr monga.,I recommend the doctor,Delhi
Doctors are good and understanding the issues and very helpful to closer. Earlier my HBA1c is 10.3 and after 04 month is comes 6.6 which is to good for me,I recommend the doctor,Delhi
"I'm diabetic patient my HbAic is 7.9 and now I'm taking treatment from Dr. Monga clinic and now my FBS-108, PP-126 now I'm feeling better than before so I recommend to all . And the staff is very nice... ",I recommend the doctor,Delhi
Dr.Monga is a very experienced doctor and it's always been good for my mother to visit him and i recommend everyone going to such same problems to visit dr.monga clinic.,I recommend the doctor,Delhi
"Visited this clinic on 19/09/18 due to penile warts and after consultation and medication, just after 2-3 days my warts were gone completely and so I suggest anyone with sexual related problems to visit this clinic",I recommend the doctor,Delhi
I recommend the doctorI had lost hope . But I was fortunate enough to visit dr. Monga Clinic . Lost of anxiety .at Dr. Monga Clinic they are really ethical doctors with pure ayurvedic medicines given with prescriptions. Please anybody which has doubts  or another some personal issues visit him once.  ,I recommend the doctor,Delhi
"I am very satisfied with the treatment of Dr.  Monga Medi Clinic. I am taking treatment from 4years &  my HbA1c gradually comes down below 7.2 from 11.4%. I got right place for diabetes treatment. Time to time I get call from clinic regards my health, diet & exercise.  ",I recommend the doctor,Delhi
"Hi, after a long search I visited dr monga medi clinic gurgaon for my personal issue, my experience is quite good over here. I was described about my problem in details and doctor give me sufficient time to think whether I start my treatment or not, then after discussing with my family I started the treatment, but surprisingly within a few days I feel the positive effect t of the treatment. ** **** ** **** * ***** ** ****** Thank you all at dr monga gurgaon.",I recommend the doctor,Delhi
I was suffering from ED ..when I did meet dr yuvraj I feel relaxed. The treatment and explanation about problem of Dr Yuvraj is awesome.,I recommend the doctor,Delhi
Medicine are to much coastly.*** ** *** ***** Blood test report is to much coastly not for value. It is not good to come ,I do not recommend the doctor,Delhi
I have to get ED from last year I met with Dr. Yuvraj now I feel good ** ** ******* ********** ******,I recommend the doctor,Delhi
"The staff will keep lying to you that the doctor is just about to come and will ask you to wait for hours despite the booking done in advance.The clinic has hired amateur girls who don’t even know how to behave with patients and are completely insensitive.In case a particular doc is away, they force you to just go and see anyone. I was being asked to see the dietician for stomach issues. Highly disappointed. Never going back. ",I do not recommend the doctor,Delhi
"After driving for an hour when I reached the clinic , I was told doctor is not available. Totally  unprofessional and casual approach. They didn't even bother to inform about cancellation of appointment.  Sorry state of affairs ",I do not recommend the doctor,Delhi
He recommends waiting before prescribing medicines and tests . Something rare with doctors these days. ,I recommend the doctor,Delhi
I m staisfied because he talking nicely n understand problem surely .. I reccomended to all weak sex patient go mongo clinic if u suffering lot problem,I recommend the doctor,Delhi
I feel that there was a counciling center not a clinicThey fix appointment with junior doctor.My appointment was 6.45 PM but my meeting was 8.00 PM.,I do not recommend the doctor,Delhi
"I would like say that I came from Adarsh Nagar to Meet DR Yuvraj Monga. I personally wanted to meet with Dr Yuvraj Monga only by the reference of Harsh sex consultant but I was consulting with some other Doctor’s which is personally I don’t like.If I wanted to meet with some other Doctor so Rajouri Garden is near by my Area, I can go and meet there. Why I come to Lajpat nagar then. I would recommend you when some one comes to meet with particular Doctor so Arrange meeting with them only not with other doctor’s.Thanks,Mayank Malhotra",I do not recommend the doctor,Delhi
He is a jolly man and very patient friendly. He knows his work and how to deal with patients in extreme conditions,I recommend the doctor,Delhi
Nice experience and also going on but tertment it will be good I have completed here 30 days N 30 days remain here,I recommend the doctor,Delhi
All the things were fine but the treatment that they sugussted me was not affordible for me and I think for many other people. I request them that please decrease your treatment cost.,I recommend the doctor,Delhi
** ** **** *** ********* His staff is regularly takes follow up for my sugar and food log.Now I have controlled my diabetesThanks ,I recommend the doctor,Delhi
I am really happy with the treatment and also the environment of the clinic doctor is really helping and understanding and staff is also good and cooperative. Staff is really helping i am really satisfied with the service of the clinic and the treatment i got. ,I recommend the doctor,Delhi
"I am fully satisfy with Dr monga clinic ( Dr.yuvraj sir )dr.behave is friendly. Staff are very coprative, there endearment good ",I recommend the doctor,Delhi
Very patient and considerate. Treatment is worth the money they charge.Would definitely recommend their expertise to others.,I recommend the doctor,Delhi
The doctor was not present at the time of appointment and some other junior doctor was present. whole consultation was with junior doctor and not the appointed doctor. Appointed doctor came only to describe fee structure. ,I do not recommend the doctor,Delhi
I have coughing problems since childhood.... And frequently stomach problems.... It is now reducing both... ,I recommend the doctor,Delhi
All staff and doctor are very friendlyWaiting time is very lessEasily reachable from metro Thanks,I recommend the doctor,Delhi
The main doctor wasn't available and the sub didn't sound confident. The services were also very basic and the available doctor was more inclined towards ayurvedic. Better find a different doctor.,I do not recommend the doctor,Delhi
"Dr Monga is around 50 years of age and just seemed some senior of college handling the scenario of one of the most seriously and mentally faced problem of the society with yet no cure, so casually as if he had just analysed the entire story that I had to tell within a few minutes to judge my disease and treatment for the same w/o any tests. Although he recommended me tests so that I can leave comments like these rather searching for my disease over Google night and day. I felt the clinic to be over rated but let me tell you guys.... Experience bolta h. Thank you Dr Monga ",I recommend the doctor,Delhi
"NOT SATISFIED WITH DOCTOR...Doctor was not seriously listening to whatever i ws saying,, i will not recommend anyone to go there.......               ",I do not recommend the doctor,Delhi
First of appointment you will not meet with DR Youraj. There are another consult Dr who will take care your like finding your problem & also he will give to some treatment once the result will come out then may be DR Youraj will look the report & provide what step should take i given all sample over there[Lajpat Clinic]. I am waiting for my result once I get feedback from there i will share in practo so that you guy's can take decision should we go Dr Monga Clinic or not.Thanks     ,I recommend the doctor,Delhi
That time my condition very bad but doctor handle with seriously Take promtt action give me injection and medicine n cl  to my family ,I recommend the doctor,Delhi
"I attended clinic with an infected toe. Dr Monga gave a precise diagnosis and clearly explained the medicines he prescribed; dosage, effect and purpose. Dr Monga’s confidence *** ********* were reassuring ",I recommend the doctor,Delhi
Good experience will recommend  others to visit. Have good experience if so next also visit have aNice day ,I recommend the doctor,Delhi
It's so expensive.. out of budget....Waiting time is so long..I am unable to come again..... Because of its so expensive...,I do not recommend the doctor,Delhi
"No doubt Dr is very friendly. *** ********* ** **** **** ****** **** ******** ******* I was called 4 times in a month an given some diet routine and exercise, which I strictly followed. *** * ",I recommend the doctor,Delhi
I am very much satisfied after visiting this clinic as earlier I was very disturbed and my sexual life had just zero. Visited 2-3 prominent doctors but not satisfactory result. Here I was guided properly and there were some 5_6 visit and I was completely fine.,I recommend the doctor,Delhi
Very friendly doctor. He explained the problem and the solution. The medicine details and how to take the same.,I recommend the doctor,Delhi
Every thing is good.i like clinic atmosphere. Doctors are good .i like most the doctor who consult me before dr yuvraj,I recommend the doctor,Delhi
"I am very happy with Dr. Monga  clinic treatment . Doctors , counsellors . Food logs and exercise guidance is amazing ,follow ups are excellent. I strongly recommend this clinic ",I recommend the doctor,Delhi
The doctor was very helpful and kind.i am feeling much better now. The staff was really good. *** ** ** ******* *** **** *****.i would recommend the doctor to other as well. ,I recommend the doctor,Delhi
This is absolutely amazing I had gone to Dr to Dr Monga clinic for diabetes treatment with hba1c 11.6 after just three months my hba1c has dropped to 7.8 their back up diet counseling and follwo up is worth appreciating *** **** **********The amount of information and time give by Dr Monga is very satisfying.,I recommend the doctor,Delhi
Very impressive guidance given by the  doctor.He listen to the patient carefully and patiently after clearing the doubts prescribed the suitable treatment.,I recommend the doctor,Delhi
Excellent experience... I will also recommend others. I have no words for doctor.staff r also good.,I recommend the doctor,Delhi
I had visited Dr yuvraj 2 month ago and I started talking medicine.I didn't get any relief in 20 days.Than I asked him and he said that I will be getting results after 30days. I continued the medicine and dite right now I am fine and my sugar lavel is under control. Thanks to Dr yuvraj ,I recommend the doctor,Delhi
I am fine after taking 20 days medicine. Diet counseling and exercise counseling was great. Thanks to dr yuvraj,I recommend the doctor,Delhi
I am very satisfied with Dr Monga Medi clinics treatment practice. The doctors are excellent. They listen very well.counseling by dietician and counselors is very good. My sugar levels are almost normal now. We should have more clinics like this in India. ,I recommend the doctor,Delhi
"I had to wait 3hours and patient who came after me went before me and medicine charges are too too high, more than 3 times the Market price.i bought because I thought it will be better if I buy from doctor but price was very very high.they",I do not recommend the doctor,Delhi
I was suffering from weakness for one month .Exercise and diet was fantastic .after taking 10-12 days medicine I felt better . Thanks to Dr yuvraj arara . ,I recommend the doctor,Delhi
V.good without hesitation tell to docter his problam and doctor simplyway  understand me                ,I recommend the doctor,Delhi
Good doctor *** ***** ********* ** ********* He really serves you well and overall stuff is cooperative and politie.,I recommend the doctor,Delhi
I've been to dr.monga and trust me he has helped me a lot in recovering from sexual probelm.I was suffering from some sexual problem from last 1 year. And was very stressed because of itSomebody recommended me dr.monga.His concultantion worked like anything.And his medications are completely recovering me.I would surely suggest if anybody faces the same problem.,I recommend the doctor,Delhi
I was suffering form loss of libido problem since may 2017. I visited Dr Monga and i feel very well after taking their counselling & treatment and living happy and healthier marriage life.    ,I recommend the doctor,Delhi
"A very well organized clinic ... Staff is very good & helpful ... Drs r very experienced .The techniques , exercise & diet chart they provide r very good ...",I recommend the doctor,Delhi
The doctor was extremely friendly and welcoming. He gave proper time to me listening. He always calm his patient unlike other doctors who usually take advantage of the situation. He tries his best to ease his patients. ,I recommend the doctor,Delhi
* ***** ** ** *** **** ****** ** ******* ******* I am suffering from stomach problem since more then one year but now I am better when i take treatment from Moga clinic,I recommend the doctor,Delhi
I found the doctor pretty friendly and warm.He would tell you the root cause of the problem *** *** ***** *******Great experience ,I recommend the doctor,Delhi
I visited over there a couple of months ago. I got the treatment but I it was not useful for me. medicine was very expensive. I went to there for Dr. Yuvraj but a junior attended me. He was overall good but not great. I visited to the clinic by two times but I was not happy with the overall experience so next time I didn't visit to the clinic. Even they didn't bother to followup with me for the reason for leaving the treatment in-between. May be it was my mistake but I was not feeling comfortable for my next visit.,I do not recommend the doctor,Delhi
Very nice treatment I am getting here. They have a regular follow up with me.The medicine work nicely for me. I am happy with my treatment.,I recommend the doctor,Delhi
Experience was too good ..no more insulin now  even metformin hydrochloride tablets stopped also.I am having only Ayurveda Medicine and doing proper walk n exercise as per recommend by Dr and counsellor and my dietician.,I recommend the doctor,Delhi
"He was very helpful and honest, saying don't need anything treatment. He said "" go and enjoy your life"" , which was really nice to hear. ",I recommend the doctor,Delhi
My sister have problem to urinate in bed and you consult to talk and pediatrician but there is no pediatrician near me,I recommend the doctor,Delhi
"Dear Doc I am feeling bit of pain in my chest, I was given testrone injection can u tell what could be reason. ",I recommend the doctor,Delhi
My Mon was very prone to Skin Allergies and was unable to get perfect treatment. I referred her to visit Dr Monga to check if the treatment here works. She has recovered fast due to the Ayurvedic medicines,I recommend the doctor,Delhi
The Treatment was satisfactory. Also doctor explained every single precaution which needs to be take place during treatment.,I recommend the doctor,Delhi
Behavior of the Doctor Yuvraj was so good. One can discuss friendly his/her problem with doctor. He is working for welfare not for money.,I recommend the doctor,Delhi
Very good relief after taking Ayurvedic medicines from this clinic. Dr. Here are experienced and know the pain of male issues of their patients. They comfort patients and lay attention to their issues and motivate them.,I recommend the doctor,Delhi
I had a serious  issue with my sex life. This was spoiling the romance and sex pleasure in my life. Thanks to Dr. Monga for affordable treatment and I recovered in just 20 days with Ayurvedic medicines. ,I recommend the doctor,Delhi
"***** ********* treatment with good staff at this Monga Clinic. After two weeks of medication and diagnosis, I was able to overcome Male Issues. Now I am physically and mentally alive again and enjoying the life to fullness.",I recommend the doctor,Delhi
"Male issues may ruin their personal life, the same was experienced by me. Took no time and visited Dr. Monga Clinic for the problem. This was an amazing experience of my life with any doctor.",I recommend the doctor,Delhi
"Thanks to Dr. Yuvraj Monga, *** ********* ** **** *** **** ********** affordable and showed its result in 2 weeks. I have overcome the men problem and now enjoying the life go fullness with my partner.",I recommend the doctor,Delhi
"I went to Monga Clinic as I was unable to meet sex expectation of my wife. In 3 months of treatment and regular exercise, I have a happy family with most satisfied wife who loves me a lot.",I recommend the doctor,Delhi
The doctor at monga clinic was very polite and understood my issues by giving enough time. I was explained the reason for female issues problem and the care to be taken to recover soon with medication and diet balance. ,I recommend the doctor,Delhi
"After marriage, I had an infection in my private part that was very painful. A friend suggested to visit Dr. Monga Clinic as it is specialized in handling Female issues. So far,treatment is affordable and satisfactory.",I recommend the doctor,Delhi
"At Monga clinic, staff and Doctors are highly qualified and mannered. Dr. listened to my problem and ensures to keep it secret. This is the best clinic for female issues that provided me the best treatment for sexual issue.",I recommend the doctor,Delhi
"Dr. Prescribed some tablets, diet and exercise to revolver soon from sexual problem. So far it provided me great relief. Now I am once again enjoying my sexual life and want to thank Dr. For the treatment.",I recommend the doctor,Delhi
Dr. Here guided me well and provided the reason for the root cause of my sexual problem. He promised me to recover soon and enjoy the personal life once again. The medication and treatment is affordable.,I recommend the doctor,Delhi
I was desperate to find an Ayurvedic Dr. in Delhi. Found Dr. Monga clinic and visited it. Dr. Here was very polite and showed interest to listen and diagnosed the problem. I found it suitable clinic for female issues.,I recommend the doctor,Delhi
